province,district,market,latitude,longitude,commodity,unit,priceflag,price,year,month,milk and dairy,pulses and nuts,non-food,"meat, fish and eggs",#item+type,vegetables and fruits,oil and fats,cereals and tubers,miscellaneous food
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Potatoes (Irish),50 KG,actual,468.51,2006,8,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Sorghum,90 KG,actual,925.0,2006,8,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,KG,actual,29.39,2006,8,0,1,0,0,0,0,0,0,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans (dry),90 KG,actual,1975.0,2006,8,0,1,0,0,0,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,KG,actual,11.77,2006,9,0,0,0,0,0,0,0,1,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,KG,actual,32.57,2006,9,0,1,0,0,0,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans (dry),90 KG,actual,3043.75,2006,9,0,1,0,0,0,0,0,0,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Maize (white),KG,actual,19.0,2006,9,0,0,0,0,0,0,0,1,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Beans (dry),KG,actual,42.0,2006,9,0,1,0,0,0,0,0,0,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,26.0,2006,9,0,0,0,0,0,0,0,1,0
